BACIAS_ID;MUNICIPIOS
1;Acopiara
1;Aiuaba
1;Altaneira
1;Antonina do Norte
1;Araripe
1;Arneiroz
1;Assaré
1;Campos Sales
1;Cariús
1;Catarina
1;Farias Brito
1;Icó
1;Iguatu
1;Jucás
1;Nova Olinda
1;Orós
1;Parambu
1;Potengi
1;Quixelô
1;Saboeiro
1;Salitre
1;Santana do Cariri
1;Tarrafas
1;Tauá
2;Alto Santo
2;Deputado Irapuan Pinheiro
2;Ererê
2;Iracema
2;Jaguaretama
2;Jaguaribara
2;Jaguaribe
2;Milhã
2;Pereiro
2;Potiretama
2;São João do Jaguaribe
2;Solonópole
2;Tabuleiro do Norte
3;Aracati
3;Fortim
3;Icapuí
3;Itaiçaba
3;Jaguaruana
3;Limoeiro do Norte
3;Palhano
3;Quixeré
3;Russas
4;Banabuiú
4;Boa Viagem
4;Ibicuitinga
4;Madalena
4;Mombaça
4;Monsenhor Tabosa
4;Morada Nova
4;Pedra Branca
4;Piquet Carneiro
4;Quixadá
4;Quixeramobim
4;Senador Pompeu
4;Itatira
5;Abaiara
5;Aurora
5;Baixio
5;Barbalha
5;Barro
5;Brejo Santo
5;Caririaçu
5;Cedro
5;Crato
5;Granjeiro
5;Ipaumirim
5;Jardim
5;Jati
5;Juazeiro do Norte
5;Lavras da Mangabeira
5;Mauriti
5;Milagres
5;Missão Velha
5;Penaforte
5;Porteiras
5;Umari
5;Várzea Alegre